nombre,link,img_url,variaciones,categoria
Louis Vuitton Multi Pochette,https://toucheimport.mitiendanube.com/productos/louis-vuitton-multi-pochette/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Jean;Marrón oscuro;Negro;Rosa,Louis Vuitton
Louis Vuitton Neverfull,https://toucheimport.mitiendanube.com/productos/louis-vuitton-neverfull1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rosa;Negro;Rojo;Jean;Marrón oscuro,Louis Vuitton
Louis Vuitton Neverfull con cierre,https://toucheimport.mitiendanube.com/productos/louis-vuitton-neverfull-con-cierre/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rosa;Negro;Rojo;Jean;Marrón oscuro,Louis Vuitton
Louis Vuitton Bolso Alma,https://toucheimport.mitiendanube.com/productos/louis-vuitton-bolso-alma/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Jean;Marrón oscuro;Negro;Rosa,Louis Vuitton
Set Louis Vuitton,https://toucheimport.mitiendanube.com/productos/set-louis-vuitton/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Jean;Marrón oscuro;Negro;Rosa,Louis Vuitton
Louis Vuitton Set x3,https://toucheimport.mitiendanube.com/productos/louis-vuitton-set-x3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rosa;Negro;Rojo;Jean;Marrón oscuro,Louis Vuitton
Louis Vuitton Baúl,https://toucheimport.mitiendanube.com/productos/louis-vuitton-baul/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Jean;Marrón oscuro;Negro;Rosa,Louis Vuitton
Louis Vuitton Loop,https://toucheimport.mitiendanube.com/productos/louis-vuitton-loop/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rosa;Negro;Rojo;Jean;Marrón oscuro,Louis Vuitton
Gucci Bee,https://toucheimport.mitiendanube.com/productos/gucci-bee/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Blanco;Rojo;Beige;Negro,Gucci
Gucci Bandolera + Gorra de Regalo,https://toucheimport.mitiendanube.com/productos/gucci-bandolera-gorra-de-regalo/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Beige;Negro;Marrón;Blanco;Rojo,Gucci
Gucci Bolso Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-bolso-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Beige;Negro;Marrón;Blanco;Rojo,Gucci
Gucci Ophidia Tote Bag,https://toucheimport.mitiendanube.com/productos/gucci-ophidia-tote-bag/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Blanco;Rojo;Beige;Negro,Gucci
Gucci Emblem Bucket,https://toucheimport.mitiendanube.com/productos/gucci-emblem-bucket/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Beige;Negro;Marrón;Blanco;Rojo,Gucci
Gucci Mini bolso Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-mini-bolso-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Marrón;Blanco;Rojo;Beige;Negro,Gucci
Gucci Boston Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-boston-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Beige;Negro;Marrón;Blanco;Rojo,Gucci
YSL Tote,https://toucheimport.mitiendanube.com/productos/ysl-tote/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Beige;Negro;Blanco;Negro;Beige;Jean;Blanco,YSL
YSL Set,https://toucheimport.mitiendanube.com/productos/ysl-set/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Beige;Negro;Beige;Jean;Blanco;Negro;Blanco,YSL
YSL Hobo Croc,https://toucheimport.mitiendanube.com/productos/ysl-hobo-croc/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Beige;Jean;Blanco;Negro;Beige;Negro;Blanco,YSL
YSL Hobo,https://toucheimport.mitiendanube.com/productos/ysl-hobo/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Blanco;Negro;Beige;Negro;Beige;Jean;Blanco,YSL
YSL Maxibolso Shopper Icare,https://toucheimport.mitiendanube.com/productos/ysl-maxibolso-shopper-icare/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Beige;Jean;Blanco;Negro;Beige;Negro;Blanco,YSL
Christian Dior Tote,https://toucheimport.mitiendanube.com/productos/christian-dior-tote/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Azul;Gris;Rosa;Negro;Natural;Negro;Rojo;Rosa;Blanco;Rosa;Negro;Blanco;Plateado,Christian Dior
Set Christian Dior,https://toucheimport.mitiendanube.com/productos/set-christian-dior/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Rosa;Blanco;Azul;Gris;Rosa;Negro;Natural;Rosa;Negro;Blanco;Plateado,Christian Dior
Dior Bolso Lady con Cristales,https://toucheimport.mitiendanube.com/productos/dior-bolso-lady-con-cristales/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Rosa;Negro;Blanco;Plateado;Negro;Rojo;Rosa;Blanco;Negro;Natural;Azul;Gris;Rosa,Christian Dior
Christian Dior Gota,https://toucheimport.mitiendanube.com/productos/christian-dior-gota1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Azul;Gris;Rosa;Negro;Natural;Rosa;Negro;Blanco;Plateado;Negro;Rojo;Rosa;Blanco,Christian Dior
Christian Dior Gota,https://toucheimport.mitiendanube.com/productos/christian-dior-gota/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Rojo;Rosa;Blanco;Azul;Gris;Rosa;Rosa;Negro;Blanco;Plateado;Negro;Natural,Christian Dior
Miss Dior Baguette,https://toucheimport.mitiendanube.com/productos/miss-dior-baguette/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Negro;Natural;Rosa;Negro;Blanco;Plateado;Azul;Gris;Rosa;Negro;Rojo;Rosa;Blanco,Christian Dior
Miu Miu Charolada,https://toucheimport.mitiendanube.com/productos/miu-miu-charolada/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Rojo;Beige;Negro;Bordó;Rosa;Rojo;Negro;Plata;Caramelo;Agua;Rosa;Negro;Blanco;Rosa;Celeste,Miu Miu
Miu Miu Mini Wander,https://toucheimport.mitiendanube.com/productos/miu-miu-mini-wander/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Rojo;Negro;Plata;Caramelo;Agua;Rosa;Rojo;Beige;Negro;Bordó;Rosa;Negro;Blanco;Rosa;Celeste,Miu Miu
